Signature Algorithm,Test Round,Rate Limit,Delay,Packet Loss,Success,Handshake Duration [ms]
sphincssha2256fsimple,37,10000.0,0,2,1,55.039890
sphincssha2256fsimple,38,10000.0,0,2,1,54.964528
sphincssha2256fsimple,39,10000.0,0,2,1,57.664372
sphincssha2256fsimple,40,10000.0,0,2,1,54.151216
sphincssha2256fsimple,41,10000.0,0,2,1,55.549684
sphincssha2256fsimple,42,10000.0,0,2,1,54.439613
sphincssha2256fsimple,43,10000.0,0,2,1,56.048364
sphincssha2256fsimple,44,10000.0,0,2,1,54.781426
sphincssha2256fsimple,45,10000.0,0,2,1,54.445075
sphincssha2256fsimple,46,10000.0,0,2,1,57.734180
sphincssha2256fsimple,47,10000.0,0,2,1,59.043764
sphincssha2256fsimple,48,10000.0,0,2,1,55.429333
sphincssha2256fsimple,49,10000.0,0,2,1,54.513203
sphincssha2256fsimple,50,10000.0,0,2,1,56.902174
sphincssha2256fsimple,51,10000.0,0,2,1,54.885414
sphincssha2256fsimple,52,10000.0,0,2,1,55.705628
sphincssha2256fsimple,53,10000.0,0,2,1,57.210553
sphincssha2256fsimple,54,10000.0,0,2,1,55.032419
sphincssha2256fsimple,55,10000.0,0,2,1,54.752977
sphincssha2256fsimple,56,10000.0,0,2,1,1074.835340
sphincssha2256fsimple,57,10000.0,0,2,1,54.914911
sphincssha2256fsimple,58,10000.0,0,2,1,54.787627
sphincssha2256fsimple,59,10000.0,0,2,1,54.789490
sphincssha2256fsimple,60,10000.0,0,2,1,55.515399
sphincssha2256fsimple,61,10000.0,0,2,1,54.484159
sphincssha2256fsimple,62,10000.0,0,2,1,55.955721
sphincssha2256fsimple,63,10000.0,0,2,1,57.300030
sphincssha2256fsimple,64,10000.0,0,2,1,55.084392
sphincssha2256fsimple,65,10000.0,0,2,1,55.296546
sphincssha2256fsimple,66,10000.0,0,2,1,54.598349
sphincssha2256fsimple,67,10000.0,0,2,1,54.688001
sphincssha2256fsimple,68,10000.0,0,2,1,58.870889
sphincssha2256fsimple,69,10000.0,0,2,1,55.700199
sphincssha2256fsimple,70,10000.0,0,2,1,57.174039
sphincssha2256fsimple,71,10000.0,0,2,1,55.162837
sphincssha2256fsimple,72,10000.0,0,2,1,54.817361
sphincssha2256fsimple,73,10000.0,0,2,1,55.213777
sphincssha2256fsimple,74,10000.0,0,2,1,54.982097
sphincssha2256fsimple,75,10000.0,0,2,1,54.661028
sphincssha2256fsimple,76,10000.0,0,2,1,54.795074
sphincssha2256fsimple,77,10000.0,0,2,1,57.887918
sphincssha2256fsimple,78,10000.0,0,2,1,54.728339
sphincssha2256fsimple,79,10000.0,0,2,1,55.805456
sphincssha2256fsimple,80,10000.0,0,2,1,262.599549
sphincssha2256fsimple,81,10000.0,0,2,1,54.393015
sphincssha2256fsimple,82,10000.0,0,2,1,55.300263
sphincssha2256fsimple,83,10000.0,0,2,1,54.518538
sphincssha2256fsimple,84,10000.0,0,2,1,91.005353
sphincssha2256fsimple,85,10000.0,0,2,1,55.002199
sphincssha2256fsimple,86,10000.0,0,2,1,54.622476
sphincssha2256fsimple,87,10000.0,0,2,1,57.498513
sphincssha2256fsimple,88,10000.0,0,2,1,56.352588
sphincssha2256fsimple,89,10000.0,0,2,1,55.939917
sphincssha2256fsimple,90,10000.0,0,2,1,55.177794
sphincssha2256fsimple,91,10000.0,0,2,1,54.767964
sphincssha2256fsimple,92,10000.0,0,2,1,54.383813
sphincssha2256fsimple,93,10000.0,0,2,1,55.715151
sphincssha2256fsimple,94,10000.0,0,2,1,55.190332
sphincssha2256fsimple,95,10000.0,0,2,1,56.247175
sphincssha2256fsimple,96,10000.0,0,2,1,58.370553
sphincssha2256fsimple,97,10000.0,0,2,1,54.601916
sphincssha2256fsimple,98,10000.0,0,2,1,93.682963
sphincssha2256fsimple,99,10000.0,0,2,1,54.771861
sphincssha2256fsimple,100,10000.0,0,2,1,56.213847
sphincssha2256fsimple,1,10000.0,0,3,1,54.331020
sphincssha2256fsimple,2,10000.0,0,3,1,54.636872
sphincssha2256fsimple,3,10000.0,0,3,1,54.622559
